Map Key,Point Key,File,Layer,Marker,Stop Number,Is Direction Stop,Point Name,Longitude,Latitude,Altitude
14URUK7xIssNQ9llBqYJ0dqtF0MUcNN8E,14URUK7xIssNQ9llBqYJ0dqtF0MUcNN8E-P56,2025.EIS.000083.kmz,"Directions from Tanzila Textile Ltd., Nabinagar - Chandra Road, Dhaka to 26GG+Q6R, জালসুকা রোড, Bangladesh",B,2,TRUE,"Baroipara, Nabinagar - Chandra Rd, Bangladesh",90.2424617,24.0283584,0
14URUK7xIssNQ9llBqYJ0dqtF0MUcNN8E,14URUK7xIssNQ9llBqYJ0dqtF0MUcNN8E-P57,2025.EIS.000083.kmz,"Directions from Tanzila Textile Ltd., Nabinagar - Chandra Road, Dhaka to 26GG+Q6R, জালসুকা রোড, Bangladesh",C,3,TRUE,"26GG+Q6R, জালসুকা রোড, Bangladesh",90.224991,24.0250213,0
14oUIQJM5-yUr0pFPu8nhiQbMtjxRX7xJ,14oUIQJM5-yUr0pFPu8nhiQbMtjxRX7xJ-P58,2025.EIS.000115.kmz,"Directions from 286H+GJW, কোনাবাড়ী রিফুজি পাড়া রোড, Konabari to Zolo Knitware Limited, Mouchak - Fulbaria Rd",A,1,TRUE,"286H+GJW, কোনাবাড়ী রিফুজি পাড়া রোড, Konabari",90.3285662,24.0108221,0
14oUIQJM5-yUr0pFPu8nhiQbMtjxRX7xJ,14oUIQJM5-yUr0pFPu8nhiQbMtjxRX7xJ-P59,2025.EIS.000115.kmz,"Directions from 286H+GJW, কোনাবাড়ী রিফুজি পাড়া রোড, Konabari to Zolo Knitware Limited, Mouchak - Fulbaria Rd",B,2,TRUE,"ঢাকা - টাঙ্গাইল মহাসড়ক, কোনাবাড়ী",90.3220457,24.0108202,0
14oUIQJM5-yUr0pFPu8nhiQbMtjxRX7xJ,14oUIQJM5-yUr0pFPu8nhiQbMtjxRX7xJ-P60,2025.EIS.000115.kmz,"Directions from 286H+GJW, কোনাবাড়ী রিফুজি পাড়া রোড, Konabari to Zolo Knitware Limited, Mouchak - Fulbaria Rd",C,3,TRUE,"Zolo Knitware Limited, Mouchak - Fulbaria Rd",90.2988689,24.0299642,0
150-BKQ0XzmdLaMidO_M8TfP4jKJSSPJH,150-BKQ0XzmdLaMidO_M8TfP4jKJSSPJH-P61,2025.EIS.000081.kmz,"Directions from 35QP+PP5, Bangladesh to 35PJ+5WJ, Kaliakair, Bangladesh",A,1,TRUE,"35QP+PP5, Bangladesh",90.1869661,24.0892942,0
150-BKQ0XzmdLaMidO_M8TfP4jKJSSPJH,150-BKQ0XzmdLaMidO_M8TfP4jKJSSPJH-P62,2025.EIS.000081.kmz,"Directions from 35QP+PP5, Bangladesh to 35PJ+5WJ, Kaliakair, Bangladesh",B,2,TRUE,"35QP+GRV, Bangladesh",90.1872311,24.089156,0
150-BKQ0XzmdLaMidO_M8TfP4jKJSSPJH,150-BKQ0XzmdLaMidO_M8TfP4jKJSSPJH-P63,2025.EIS.000081.kmz,"Directions from 35QP+PP5, Bangladesh to 35PJ+5WJ, Kaliakair, Bangladesh",C,3,TRUE,"35PJ+5WJ, Kaliakair, Bangladesh",90.1831079,24.0853416,0
15ELFRwzic50Pgl6n8ihlfFwZ5924vn6Z,15ELFRwzic50Pgl6n8ihlfFwZ5924vn6Z-P64,2024.EIS.000040.kmz,"Directions from BRAC mor, Jora Pump Rd to KAROONi Fashion Limited, Shafipur - Majukhan Road, Gazipur",A,1,TRUE,"BRAC mor, Jora Pump Rd",90.2504184,24.0433875,0
15ELFRwzic50Pgl6n8ihlfFwZ5924vn6Z,15ELFRwzic50Pgl6n8ihlfFwZ5924vn6Z-P65,2024.EIS.000040.kmz,"Directions from BRAC mor, Jora Pump Rd to KAROONi Fashion Limited, Shafipur - Majukhan Road, Gazipur",B,2,TRUE,"Shafipur Bazar, Sinaboh Rd, Shafipur",90.2744957,24.0267835,0
15ELFRwzic50Pgl6n8ihlfFwZ5924vn6Z,15ELFRwzic50Pgl6n8ihlfFwZ5924vn6Z-P66,2024.EIS.000040.kmz,"Directions from BRAC mor, Jora Pump Rd to KAROONi Fashion Limited, Shafipur - Majukhan Road, Gazipur",C,3,TRUE,"KAROONi Fashion Limited, Shafipur - Majukhan Road, Gazipur",90.2770564,24.0407472,0
16APjkFTwLeEOooB0TMQXRkeo7Mx8Dpv1,16APjkFTwLeEOooB0TMQXRkeo7Mx8Dpv1-P67,2026.EIS.000127.kmz,"Directions from ambag, Ambag Road, Konabari to Fashion Summit Ltd.",A,1,TRUE,"ambag, Ambag Road, Konabari",90.3211096,24.0090648,0
